,cost,n_pass,flight
380,212.5,24.0,4523.0
381,212.5,19.0,4523.0
382,225.0,30.0,4524.0
383,225.0,39.0,4524.0
384,225.0,22.0,4524.0
385,225.0,21.0,4524.0
386,212.5,29.0,4527.0
387,212.5,12.0,4527.0
388,212.5,50.0,4527.0
389,212.5,15.0,4527.0
390,225.0,72.0,4530.0
391,225.0,13.0,4530.0
392,225.0,39.0,4530.0
393,225.0,15.0,4530.0
394,212.5,39.0,4531.0
395,212.5,17.0,4531.0
396,212.5,32.0,4531.0
397,212.5,25.0,4531.0
398,225.0,44.0,4534.0
399,225.0,17.0,4534.0
400,225.0,68.0,4534.0
401,225.0,21.0,4534.0
402,409.5,6.0,4514.0
403,175.0,10.0,4514.0
404,409.5,3.0,4514.0
405,175.0,5.0,4514.0
406,409.5,6.0,4514.0
407,175.0,10.0,4514.0
408,409.5,3.0,4514.0
409,175.0,16.0,4514.0
410,409.5,6.0,4503.0
411,175.0,11.0,4503.0
412,409.5,2.0,4503.0
413,175.0,4.0,4503.0
414,409.5,5.0,4503.0
415,175.0,10.0,4503.0
416,409.5,3.0,4503.0
417,175.0,6.0,4503.0
418,409.5,6.0,4516.0
419,175.0,11.0,4516.0
420,409.5,2.0,4516.0
421,175.0,4.0,4516.0
422,409.5,7.0,4516.0
423,175.0,17.0,4516.0
424,409.5,4.0,4516.0
425,175.0,8.0,4516.0
426,409.5,5.0,4509.0
427,175.0,9.0,4509.0
428,409.5,3.0,4509.0
429,175.0,5.0,4509.0
430,409.5,4.0,4509.0
431,175.0,8.0,4509.0
432,409.5,4.0,4509.0
433,175.0,8.0,4509.0
434,175.0,7.0,4510.0
435,175.0,5.0,4510.0
436,409.5,1.0,4510.0
437,175.0,10.0,4510.0
438,409.5,1.0,4510.0
439,175.0,5.0,4510.0
440,409.5,4.0,4513.0
441,175.0,10.0,4513.0
442,409.5,4.0,4513.0
443,175.0,10.0,4513.0
444,409.5,6.0,4513.0
445,175.0,14.0,4513.0
446,409.5,2.0,4513.0
447,175.0,6.0,4513.0
448,200.0,28.0,4314.0
449,200.0,46.0,4314.0
450,200.0,55.0,4314.0
451,200.0,12.0,4314.0
452,187.5,39.0,4315.0
453,187.5,22.0,4315.0
454,187.5,43.0,4315.0
455,187.5,16.0,4315.0
456,200.0,57.0,4320.0
457,200.0,20.0,4320.0
458,200.0,60.0,4320.0
459,200.0,11.0,4320.0
460,187.5,68.0,4317.0
461,187.5,24.0,4317.0
462,187.5,33.0,4317.0
463,187.5,27.0,4317.0
464,200.0,42.0,4322.0
465,200.0,38.0,4322.0
466,200.0,45.0,4322.0
467,200.0,36.0,4322.0
468,187.5,26.0,4319.0
469,187.5,18.0,4319.0
470,187.5,29.0,4319.0
471,187.5,13.0,4319.0
472,200.0,39.0,4324.0
473,200.0,56.0,4324.0
474,200.0,40.0,4324.0
475,200.0,38.0,4324.0
476,187.5,17.0,4321.0
477,187.5,18.0,4321.0
478,187.5,28.0,4321.0
479,187.5,16.0,4321.0
480,212.5,44.0,4404.0
481,212.5,26.0,4404.0
482,212.5,58.0,4404.0
483,212.5,12.0,4404.0
484,187.5,53.0,4405.0
485,187.5,13.0,4405.0
486,187.5,24.0,4405.0
487,187.5,15.0,4405.0
488,200.0,67.0,4408.0
489,200.0,12.0,4408.0
490,200.0,43.0,4408.0
491,200.0,12.0,4408.0
492,187.5,75.0,4411.0
493,187.5,28.0,4411.0
494,187.5,43.0,4411.0
495,187.5,13.0,4411.0
496,200.0,53.0,4412.0
497,200.0,11.0,4412.0
498,200.0,25.0,4412.0
499,200.0,12.0,4412.0
500,187.5,30.0,4415.0
501,187.5,57.0,4415.0
502,187.5,29.0,4415.0
503,187.5,10.0,4415.0
504,200.0,79.0,4416.0
505,200.0,12.0,4416.0
506,200.0,40.0,4416.0
507,200.0,12.0,4416.0
508,187.5,35.0,4421.0
509,187.5,14.0,4421.0
510,187.5,23.0,4421.0
511,187.5,11.0,4421.0
512,212.5,40.0,4643.0
513,212.5,15.0,4643.0
514,212.5,15.0,4643.0
515,212.5,9.0,4643.0
516,200.0,24.0,2972.0
517,200.0,14.0,2972.0
518,200.0,24.0,2972.0
519,200.0,5.0,2972.0
520,250.0,29.0,4431.0
521,250.0,33.0,4431.0
522,250.0,28.0,4431.0
523,250.0,6.0,4431.0
524,250.0,64.0,4432.0
525,250.0,17.0,4432.0
526,250.0,15.0,4432.0
527,250.0,14.0,4432.0
528,250.0,37.0,4437.0
529,250.0,23.0,4437.0
530,250.0,25.0,4437.0
531,250.0,8.0,4437.0
532,250.0,86.0,4434.0
533,250.0,18.0,4434.0
534,250.0,18.0,4434.0
535,250.0,7.0,4434.0
536,212.5,33.0,4375.0
537,212.5,30.0,4375.0
538,212.5,56.0,4375.0
539,212.5,23.0,4375.0
540,225.0,64.0,4376.0
541,225.0,15.0,4376.0
542,225.0,72.0,4376.0
543,225.0,14.0,4376.0
544,200.0,23.0,3111.0
545,200.0,22.0,3111.0
546,200.0,26.0,3111.0
547,200.0,18.0,3111.0
548,212.5,75.0,3112.0
549,212.5,17.0,3112.0
550,212.5,60.0,3112.0
551,212.5,31.0,3112.0
552,200.0,41.0,4365.0
553,200.0,49.0,4365.0
554,200.0,65.0,4365.0
555,200.0,24.0,4365.0
556,212.5,55.0,4368.0
557,212.5,14.0,4368.0
558,212.5,46.0,4368.0
559,212.5,10.0,4368.0
560,212.5,29.0,4364.0
561,212.5,14.0,4364.0
562,212.5,26.0,4364.0
563,212.5,17.0,4364.0
564,200.0,37.0,4363.0
565,200.0,58.0,4363.0
566,200.0,42.0,4363.0
567,200.0,19.0,4363.0
568,212.5,60.0,4366.0
569,212.5,19.0,4366.0
570,212.5,44.0,4366.0
571,212.5,50.0,4366.0
572,200.0,75.0,4369.0
573,200.0,24.0,4369.0
574,200.0,75.0,4369.0
575,200.0,24.0,4369.0
576,212.5,55.0,4370.0
577,212.5,9.0,4370.0
578,212.5,23.0,4370.0
579,212.5,14.0,4370.0
580,200.0,33.0,4371.0
581,200.0,21.0,4371.0
582,200.0,36.0,4371.0
583,200.0,17.0,4371.0
584,200.0,74.0,4385.0
585,200.0,19.0,4385.0
586,200.0,38.0,4385.0
587,200.0,24.0,4385.0
588,212.5,78.0,4386.0
589,212.5,14.0,4386.0
590,212.5,42.0,4386.0
591,212.5,38.0,4386.0
592,200.0,46.0,4387.0
593,200.0,25.0,4387.0
594,200.0,49.0,4387.0
595,200.0,46.0,4387.0
596,212.5,58.0,4388.0
597,212.5,15.0,4388.0
598,212.5,62.0,4388.0
599,212.5,15.0,4388.0
600,237.5,70.0,4459.0
601,237.5,32.0,4459.0
602,237.5,28.0,4459.0
603,237.5,37.0,4459.0
604,237.5,38.0,4454.0
605,237.5,24.0,4454.0
606,237.5,80.0,4454.0
607,237.5,19.0,4454.0
608,150.0,46.0,4164.0
609,150.0,26.0,4164.0
610,150.0,29.0,4164.0
611,150.0,43.0,4164.0
612,187.5,76.0,2883.0
613,187.5,15.0,2883.0
614,187.5,34.0,2883.0
615,187.5,46.0,2883.0
616,200.0,75.0,2892.0
617,200.0,17.0,2892.0
618,200.0,53.0,2892.0
619,200.0,16.0,2892.0
620,187.5,53.0,2895.0
621,187.5,26.0,2895.0
622,187.5,66.0,2895.0
623,187.5,17.0,2895.0
624,200.0,51.0,2908.0
625,200.0,25.0,2908.0
626,200.0,44.0,2908.0
627,200.0,15.0,2908.0
628,150.0,34.0,4189.0
629,150.0,15.0,4189.0
630,150.0,39.0,4189.0
631,150.0,20.0,4189.0
632,237.5,45.0,4475.0
633,237.5,29.0,4475.0
634,237.5,98.0,4475.0
635,237.5,26.0,4475.0
636,225.0,51.0,4476.0
637,225.0,27.0,4476.0
638,225.0,91.0,4476.0
639,225.0,16.0,4476.0
640,200.0,61.0,3091.0
641,200.0,28.0,3091.0
642,200.0,50.0,3091.0
643,200.0,57.0,3091.0
644,212.5,29.0,3084.0
645,212.5,10.0,3084.0
646,212.5,46.0,3084.0
647,212.5,19.0,3084.0
648,200.0,75.0,3099.0
649,200.0,15.0,3099.0
650,200.0,52.0,3099.0
651,200.0,14.0,3099.0
652,150.0,31.0,3094.0
653,150.0,9.0,3094.0
654,150.0,52.0,3094.0
655,150.0,21.0,3094.0
656,187.5,36.0,4224.0
657,187.5,15.0,4224.0
658,187.5,35.0,4224.0
659,187.5,16.0,4224.0
660,175.0,26.0,4225.0
661,175.0,42.0,4225.0
662,175.0,32.0,4225.0
663,175.0,17.0,4225.0
664,187.5,61.0,4228.0
665,187.5,18.0,4228.0
666,187.5,31.0,4228.0
667,187.5,17.0,4228.0
668,175.0,101.0,4239.0
669,175.0,19.0,4239.0
670,175.0,56.0,4239.0
671,175.0,48.0,4239.0
672,187.5,56.0,4238.0
673,187.5,19.0,4238.0
674,187.5,45.0,4238.0
675,187.5,23.0,4238.0
676,175.0,34.0,4237.0
677,175.0,22.0,4237.0
678,175.0,39.0,4237.0
679,175.0,14.0,4237.0
680,200.0,35.0,2968.0
681,200.0,16.0,2968.0
682,200.0,31.0,2968.0
683,200.0,50.0,2968.0
684,175.0,34.0,2975.0
685,175.0,18.0,2975.0
686,175.0,31.0,2975.0
687,175.0,22.0,2975.0
688,200.0,66.0,2982.0
689,200.0,17.0,2982.0
690,200.0,85.0,2982.0
691,200.0,16.0,2982.0
692,175.0,36.0,2985.0
693,175.0,18.0,2985.0
694,175.0,90.0,2985.0
695,175.0,13.0,2985.0
696,200.0,29.0,2992.0
697,200.0,24.0,2992.0
698,200.0,37.0,2992.0
699,200.0,14.0,2992.0
700,175.0,48.0,2999.0
701,175.0,43.0,2999.0
702,175.0,66.0,2999.0
703,175.0,20.0,2999.0
704,200.0,82.0,3008.0
705,200.0,29.0,3008.0
706,200.0,82.0,3008.0
707,200.0,30.0,3008.0
708,200.0,36.0,2970.0
709,200.0,15.0,2970.0
710,200.0,47.0,2970.0
711,200.0,17.0,2970.0
712,162.5,51.0,4269.0
713,162.5,21.0,4269.0
714,162.5,44.0,4269.0
715,162.5,18.0,4269.0
716,162.5,91.0,4270.0
717,162.5,20.0,4270.0
718,162.5,91.0,4270.0
719,162.5,20.0,4270.0
720,162.5,33.0,4271.0
721,162.5,48.0,4271.0
722,162.5,73.0,4271.0
723,162.5,22.0,4271.0
724,162.5,29.0,4276.0
725,162.5,20.0,4276.0
726,162.5,44.0,4276.0
727,162.5,14.0,4276.0
728,200.0,46.0,2967.0
729,200.0,55.0,2967.0
730,200.0,38.0,2967.0
731,200.0,72.0,2967.0
732,200.0,33.0,4344.0
733,200.0,48.0,4344.0
734,200.0,19.0,4344.0
735,200.0,6.0,4344.0
736,187.5,52.0,4343.0
737,187.5,24.0,4343.0
738,187.5,11.0,4343.0
739,187.5,8.0,4343.0
740,225.0,97.0,4502.0
741,225.0,17.0,4502.0
742,225.0,13.0,4502.0
743,225.0,7.0,4502.0
744,212.5,72.0,4501.0
745,212.5,18.0,4501.0
746,212.5,32.0,4501.0
747,212.5,6.0,4501.0
748,200.0,79.0,4352.0
749,200.0,14.0,4352.0
750,200.0,20.0,4352.0
751,200.0,6.0,4352.0
752,187.5,93.0,4347.0
753,187.5,30.0,4347.0
754,187.5,30.0,4347.0
755,187.5,8.0,4347.0
756,200.0,85.0,4358.0
757,200.0,24.0,4358.0
758,200.0,16.0,4358.0
759,200.0,9.0,4358.0
760,150.0,36.0,4168.0
761,150.0,15.0,4168.0
762,150.0,51.0,4168.0
763,150.0,27.0,4168.0
764,150.0,28.0,4167.0
765,150.0,49.0,4167.0
766,150.0,29.0,4167.0
767,150.0,25.0,4167.0
768,150.0,80.0,4174.0
769,150.0,14.0,4174.0
770,150.0,78.0,4174.0
771,150.0,32.0,4174.0
772,212.5,96.0,4389.0
773,212.5,33.0,4389.0
774,212.5,63.0,4389.0
775,212.5,23.0,4389.0
776,212.5,46.0,4390.0
777,212.5,47.0,4390.0
778,212.5,71.0,4390.0
779,212.5,13.0,4390.0
780,150.0,45.0,4169.0
781,150.0,70.0,4169.0
782,150.0,93.0,4169.0
783,150.0,20.0,4169.0
784,150.0,25.0,2593.0
785,150.0,27.0,2593.0
786,150.0,34.0,2593.0
787,150.0,59.0,2593.0
788,175.0,25.0,4504.0
789,175.0,21.0,4504.0
790,175.0,33.0,4504.0
791,175.0,16.0,4504.0
792,175.0,92.0,4507.0
793,175.0,18.0,4507.0
794,175.0,86.0,4507.0
795,175.0,24.0,4507.0
796,175.0,70.0,4508.0
797,175.0,30.0,4508.0
798,175.0,30.0,4508.0
799,175.0,16.0,4508.0
800,175.0,69.0,4511.0
801,175.0,11.0,4511.0
802,175.0,77.0,4511.0
803,175.0,13.0,4511.0
804,150.0,42.0,4512.0
805,150.0,18.0,4512.0
806,150.0,38.0,4512.0
807,150.0,17.0,4512.0
808,175.0,76.0,4194.0
809,175.0,18.0,4194.0
810,175.0,56.0,4194.0
811,175.0,22.0,4194.0
812,150.0,70.0,4195.0
813,150.0,45.0,4195.0
814,150.0,65.0,4195.0
815,150.0,45.0,4195.0
816,175.0,72.0,4200.0
817,175.0,38.0,4200.0
818,175.0,72.0,4200.0
819,175.0,14.0,4200.0
820,150.0,109.0,4197.0
821,150.0,19.0,4197.0
822,150.0,59.0,4197.0
823,150.0,45.0,4197.0
824,175.0,52.0,4202.0
825,175.0,58.0,4202.0
826,175.0,49.0,4202.0
827,175.0,17.0,4202.0
828,150.0,91.0,4203.0
829,150.0,20.0,4203.0
830,150.0,39.0,4203.0
831,150.0,49.0,4203.0
832,212.5,42.0,4486.0
833,212.5,47.0,4486.0
834,212.5,39.0,4486.0
835,212.5,41.0,4486.0
836,200.0,26.0,4485.0
837,200.0,26.0,4485.0
838,200.0,17.0,4485.0
839,200.0,29.0,4485.0
840,212.5,83.0,4490.0
841,212.5,19.0,4490.0
842,212.5,27.0,4490.0
843,212.5,21.0,4490.0
844,212.5,85.0,4549.0
845,212.5,21.0,4549.0
846,212.5,33.0,4549.0
847,212.5,30.0,4549.0
848,225.0,97.0,4548.0
849,225.0,27.0,4548.0
850,225.0,70.0,4548.0
851,225.0,25.0,4548.0
852,200.0,34.0,2868.0
853,200.0,18.0,2868.0
854,200.0,63.0,2868.0
855,200.0,21.0,2868.0
856,187.5,39.0,2877.0
857,187.5,17.0,2877.0
858,187.5,61.0,2877.0
859,187.5,21.0,2877.0
860,200.0,69.0,2888.0
861,200.0,19.0,2888.0
862,200.0,45.0,2888.0
863,200.0,42.0,2888.0
864,187.5,42.0,2889.0
865,187.5,64.0,2889.0
866,187.5,73.0,2889.0
867,187.5,30.0,2889.0
868,200.0,67.0,2900.0
869,200.0,33.0,2900.0
870,200.0,91.0,2900.0
871,200.0,13.0,2900.0
872,187.5,57.0,2903.0
873,187.5,17.0,2903.0
874,187.5,89.0,2903.0
875,187.5,22.0,2903.0
876,175.0,65.0,3122.0
877,175.0,16.0,3122.0
878,175.0,32.0,3122.0
879,175.0,64.0,3122.0
880,162.5,76.0,3121.0
881,162.5,13.0,3121.0
882,162.5,57.0,3121.0
883,162.5,21.0,3121.0
884,175.0,22.0,4668.0
885,175.0,42.0,4668.0
886,175.0,26.0,4668.0
887,175.0,19.0,4668.0
888,162.5,66.0,4669.0
889,162.5,19.0,4669.0
890,162.5,28.0,4669.0
891,162.5,13.0,4669.0
892,175.0,30.0,4664.0
893,175.0,11.0,4664.0
894,175.0,28.0,4664.0
895,175.0,18.0,4664.0
896,162.5,102.0,4665.0
897,162.5,22.0,4665.0
898,162.5,54.0,4665.0
899,162.5,56.0,4665.0
900,150.0,39.0,4623.0
901,150.0,12.0,4623.0
902,150.0,59.0,4623.0
903,150.0,28.0,4623.0
904,175.0,45.0,4626.0
905,175.0,21.0,4626.0
906,175.0,64.0,4626.0
907,175.0,12.0,4626.0
908,175.0,72.0,4625.0
909,175.0,24.0,4625.0
910,175.0,28.0,4625.0
911,175.0,50.0,4625.0
912,175.0,45.0,4634.0
913,175.0,65.0,4634.0
914,175.0,53.0,4634.0
915,175.0,14.0,4634.0
916,175.0,85.0,4629.0
917,175.0,29.0,4629.0
918,175.0,60.0,4629.0
919,175.0,29.0,4629.0
920,175.0,33.0,4630.0
921,175.0,15.0,4630.0
922,175.0,21.0,4630.0
923,175.0,13.0,4630.0
924,212.5,43.0,4647.0
925,212.5,28.0,4647.0
926,212.5,35.0,4647.0
927,212.5,14.0,4647.0
928,250.0,31.0,1364.0
929,250.0,22.0,1364.0
930,250.0,37.0,1364.0
